Total de Puntillas: 200
Total de Hilos: 2000

Las puntillas están numeradas del 1 al 200.
El final de un hilo es el punto de inicio para el siguiente hilo.
--------------------------------------------------

Paso 1: Conectar Puntilla 1 con Puntilla 68
Paso 2: Desde Puntilla 68, conectar con Puntilla 200
Paso 3: Desde Puntilla 200, conectar con Puntilla 67
Paso 4: Desde Puntilla 67, conectar con Puntilla 199
Paso 5: Desde Puntilla 199, conectar con Puntilla 66
Paso 6: Desde Puntilla 66, conectar con Puntilla 197
Paso 7: Desde Puntilla 197, conectar con Puntilla 65
Paso 8: Desde Puntilla 65, conectar con Puntilla 195
Paso 9: Desde Puntilla 195, conectar con Puntilla 64
Paso 10: Desde Puntilla 64, conectar con Puntilla 194
Paso 11: Desde Puntilla 194, conectar con Puntilla 61
Paso 12: Desde Puntilla 61, conectar con Puntilla 192
Paso 13: Desde Puntilla 192, conectar con Puntilla 60
Paso 14: Desde Puntilla 60, conectar con Puntilla 191
Paso 15: Desde Puntilla 191, conectar con Puntilla 59
Paso 16: Desde Puntilla 59, conectar con Puntilla 190
Paso 17: Desde Puntilla 190, conectar con Puntilla 58
Paso 18: Desde Puntilla 58, conectar con Puntilla 191
Paso 19: Desde Puntilla 191, conectar con Puntilla 61
Paso 20: Desde Puntilla 61, conectar con Puntilla 193
Paso 21: Desde Puntilla 193, conectar con Puntilla 63
Paso 22: Desde Puntilla 63, conectar con Puntilla 194
Paso 23: Desde Puntilla 194, conectar con Puntilla 62
Paso 24: Desde Puntilla 62, conectar con Puntilla 193
Paso 25: Desde Puntilla 193, conectar con Puntilla 60
Paso 26: Desde Puntilla 60, conectar con Puntilla 191
Paso 27: Desde Puntilla 191, conectar con Puntilla 121
Paso 28: Desde Puntilla 121, conectar con Puntilla 185
Paso 29: Desde Puntilla 185, conectar con Puntilla 120
Paso 30: Desde Puntilla 120, conectar con Puntilla 184
Paso 31: Desde Puntilla 184, conectar con Puntilla 118
Paso 32: Desde Puntilla 118, conectar con Puntilla 183
Paso 33: Desde Puntilla 183, conectar con Puntilla 117
Paso 34: Desde Puntilla 117, conectar con Puntilla 182
Paso 35: Desde Puntilla 182, conectar con Puntilla 118
Paso 36: Desde Puntilla 118, conectar con Puntilla 184
Paso 37: Desde Puntilla 184, conectar con Puntilla 119
Paso 38: Desde Puntilla 119, conectar con Puntilla 185
Paso 39: Desde Puntilla 185, conectar con Puntilla 118
Paso 40: Desde Puntilla 118, conectar con Puntilla 183
Paso 41: Desde Puntilla 183, conectar con Puntilla 119
Paso 42: Desde Puntilla 119, conectar con Puntilla 182
Paso 43: Desde Puntilla 182, conectar con Puntilla 116
Paso 44: Desde Puntilla 116, conectar con Puntilla 183
Paso 45: Desde Puntilla 183, conectar con Puntilla 120
Paso 46: Desde Puntilla 120, conectar con Puntilla 186
Paso 47: Desde Puntilla 186, conectar con Puntilla 119
Paso 48: Desde Puntilla 119, conectar con Puntilla 184
Paso 49: Desde Puntilla 184, conectar con Puntilla 117
Paso 50: Desde Puntilla 117, conectar con Puntilla 181
Paso 51: Desde Puntilla 181, conectar con Puntilla 116
Paso 52: Desde Puntilla 116, conectar con Puntilla 51
Paso 53: Desde Puntilla 51, conectar con Puntilla 115
Paso 54: Desde Puntilla 115, conectar con Puntilla 50
Paso 55: Desde Puntilla 50, conectar con Puntilla 185
Paso 56: Desde Puntilla 185, conectar con Puntilla 119
Paso 57: Desde Puntilla 119, conectar con Puntilla 57
Paso 58: Desde Puntilla 57, conectar con Puntilla 189
Paso 59: Desde Puntilla 189, conectar con Puntilla 56
Paso 60: Desde Puntilla 56, conectar con Puntilla 188
Paso 61: Desde Puntilla 188, conectar con Puntilla 55
Paso 62: Desde Puntilla 55, conectar con Puntilla 118
Paso 63: Desde Puntilla 118, conectar con Puntilla 181
Paso 64: Desde Puntilla 181, conectar con Puntilla 112
Paso 65: Desde Puntilla 112, conectar con Puntilla 44
Paso 66: Desde Puntilla 44, conectar con Puntilla 111
Paso 67: Desde Puntilla 111, conectar con Puntilla 43
Paso 68: Desde Puntilla 43, conectar con Puntilla 110
Paso 69: Desde Puntilla 110, conectar con Puntilla 42
Paso 70: Desde Puntilla 42, conectar con Puntilla 109
Paso 71: Desde Puntilla 109, conectar con Puntilla 40
Paso 72: Desde Puntilla 40, conectar con Puntilla 108
Paso 73: Desde Puntilla 108, conectar con Puntilla 39
Paso 74: Desde Puntilla 39, conectar con Puntilla 107
Paso 75: Desde Puntilla 107, conectar con Puntilla 38
Paso 76: Desde Puntilla 38, conectar con Puntilla 106
Paso 77: Desde Puntilla 106, conectar con Puntilla 37
Paso 78: Desde Puntilla 37, conectar con Puntilla 105
Paso 79: Desde Puntilla 105, conectar con Puntilla 38
Paso 80: Desde Puntilla 38, conectar con Puntilla 104
Paso 81: Desde Puntilla 104, conectar con Puntilla 37
Paso 82: Desde Puntilla 37, conectar con Puntilla 106
Paso 83: Desde Puntilla 106, conectar con Puntilla 41
Paso 84: Desde Puntilla 41, conectar con Puntilla 109
Paso 85: Desde Puntilla 109, conectar con Puntilla 43
Paso 86: Desde Puntilla 43, conectar con Puntilla 111
Paso 87: Desde Puntilla 111, conectar con Puntilla 42
Paso 88: Desde Puntilla 42, conectar con Puntilla 108
Paso 89: Desde Puntilla 108, conectar con Puntilla 41
Paso 90: Desde Puntilla 41, conectar con Puntilla 110
Paso 91: Desde Puntilla 110, conectar con Puntilla 42
Paso 92: Desde Puntilla 42, conectar con Puntilla 107
Paso 93: Desde Puntilla 107, conectar con Puntilla 41
Paso 94: Desde Puntilla 41, conectar con Puntilla 109
Paso 95: Desde Puntilla 109, conectar con Puntilla 40
Paso 96: Desde Puntilla 40, conectar con Puntilla 107
Paso 97: Desde Puntilla 107, conectar con Puntilla 41
Paso 98: Desde Puntilla 41, conectar con Puntilla 110
Paso 99: Desde Puntilla 110, conectar con Puntilla 44
Paso 100: Desde Puntilla 44, conectar con Puntilla 182
Paso 101: Desde Puntilla 182, conectar con Puntilla 115
Paso 102: Desde Puntilla 115, conectar con Puntilla 181
Paso 103: Desde Puntilla 181, conectar con Puntilla 119
Paso 104: Desde Puntilla 119, conectar con Puntilla 183
Paso 105: Desde Puntilla 183, conectar con Puntilla 117
Paso 106: Desde Puntilla 117, conectar con Puntilla 185
Paso 107: Desde Puntilla 185, conectar con Puntilla 122
Paso 108: Desde Puntilla 122, conectar con Puntilla 186
Paso 109: Desde Puntilla 186, conectar con Puntilla 121
Paso 110: Desde Puntilla 121, conectar con Puntilla 190
Paso 111: Desde Puntilla 190, conectar con Puntilla 60
Paso 112: Desde Puntilla 60, conectar con Puntilla 194
Paso 113: Desde Puntilla 194, conectar con Puntilla 64
Paso 114: Desde Puntilla 64, conectar con Puntilla 196
Paso 115: Desde Puntilla 196, conectar con Puntilla 65
Paso 116: Desde Puntilla 65, conectar con Puntilla 198
Paso 117: Desde Puntilla 198, conectar con Puntilla 66
Paso 118: Desde Puntilla 66, conectar con Puntilla 196
Paso 119: Desde Puntilla 196, conectar con Puntilla 62
Paso 120: Desde Puntilla 62, conectar con Puntilla 192
Paso 121: Desde Puntilla 192, conectar con Puntilla 61
Paso 122: Desde Puntilla 61, conectar con Puntilla 195
Paso 123: Desde Puntilla 195, conectar con Puntilla 62
Paso 124: Desde Puntilla 62, conectar con Puntilla 197
Paso 125: Desde Puntilla 197, conectar con Puntilla 64
Paso 126: Desde Puntilla 64, conectar con Puntilla 198
Paso 127: Desde Puntilla 198, conectar con Puntilla 67
Paso 128: Desde Puntilla 67, conectar con Puntilla 125
Paso 129: Desde Puntilla 125, conectar con Puntilla 68
Paso 130: Desde Puntilla 68, conectar con Puntilla 126
Paso 131: Desde Puntilla 126, conectar con Puntilla 69
Paso 132: Desde Puntilla 69, conectar con Puntilla 125
Paso 133: Desde Puntilla 125, conectar con Puntilla 199
Paso 134: Desde Puntilla 199, conectar con Puntilla 65
Paso 135: Desde Puntilla 65, conectar con Puntilla 195
Paso 136: Desde Puntilla 195, conectar con Puntilla 63
Paso 137: Desde Puntilla 63, conectar con Puntilla 196
Paso 138: Desde Puntilla 196, conectar con Puntilla 61
Paso 139: Desde Puntilla 61, conectar con Puntilla 193
Paso 140: Desde Puntilla 193, conectar con Puntilla 63
Paso 141: Desde Puntilla 63, conectar con Puntilla 197
Paso 142: Desde Puntilla 197, conectar con Puntilla 124
Paso 143: Desde Puntilla 124, conectar con Puntilla 196
Paso 144: Desde Puntilla 196, conectar con Puntilla 65
Paso 145: Desde Puntilla 65, conectar con Puntilla 124
Paso 146: Desde Puntilla 124, conectar con Puntilla 195
Paso 147: Desde Puntilla 195, conectar con Puntilla 123
Paso 148: Desde Puntilla 123, conectar con Puntilla 186
Paso 149: Desde Puntilla 186, conectar con Puntilla 52
Paso 150: Desde Puntilla 52, conectar con Puntilla 116
Paso 151: Desde Puntilla 116, conectar con Puntilla 180
Paso 152: Desde Puntilla 180, conectar con Puntilla 117
Paso 153: Desde Puntilla 117, conectar con Puntilla 182
Paso 154: Desde Puntilla 182, conectar con Puntilla 114
Paso 155: Desde Puntilla 114, conectar con Puntilla 48
Paso 156: Desde Puntilla 48, conectar con Puntilla 184
Paso 157: Desde Puntilla 184, conectar con Puntilla 121
Paso 158: Desde Puntilla 121, conectar con Puntilla 187
Paso 159: Desde Puntilla 187, conectar con Puntilla 119
Paso 160: Desde Puntilla 119, conectar con Puntilla 58
Paso 161: Desde Puntilla 58, conectar con Puntilla 189
Paso 162: Desde Puntilla 189, conectar con Puntilla 59
Paso 163: Desde Puntilla 59, conectar con Puntilla 192
Paso 164: Desde Puntilla 192, conectar con Puntilla 60
Paso 165: Desde Puntilla 60, conectar con Puntilla 121
Paso 166: Desde Puntilla 121, conectar con Puntilla 188
Paso 167: Desde Puntilla 188, conectar con Puntilla 120
Paso 168: Desde Puntilla 120, conectar con Puntilla 182
Paso 169: Desde Puntilla 182, conectar con Puntilla 45
Paso 170: Desde Puntilla 45, conectar con Puntilla 112
Paso 171: Desde Puntilla 112, conectar con Puntilla 43
Paso 172: Desde Puntilla 43, conectar con Puntilla 108
Paso 173: Desde Puntilla 108, conectar con Puntilla 39
Paso 174: Desde Puntilla 39, conectar con Puntilla 106
Paso 175: Desde Puntilla 106, conectar con Puntilla 40
Paso 176: Desde Puntilla 40, conectar con Puntilla 105
Paso 177: Desde Puntilla 105, conectar con Puntilla 39
Paso 178: Desde Puntilla 39, conectar con Puntilla 109
Paso 179: Desde Puntilla 109, conectar con Puntilla 42
Paso 180: Desde Puntilla 42, conectar con Puntilla 108
Paso 181: Desde Puntilla 108, conectar con Puntilla 38
Paso 182: Desde Puntilla 38, conectar con Puntilla 107
Paso 183: Desde Puntilla 107, conectar con Puntilla 39
Paso 184: Desde Puntilla 39, conectar con Puntilla 104
Paso 185: Desde Puntilla 104, conectar con Puntilla 36
Paso 186: Desde Puntilla 36, conectar con Puntilla 103
Paso 187: Desde Puntilla 103, conectar con Puntilla 37
Paso 188: Desde Puntilla 37, conectar con Puntilla 178
Paso 189: Desde Puntilla 178, conectar con Puntilla 38
Paso 190: Desde Puntilla 38, conectar con Puntilla 106
Paso 191: Desde Puntilla 106, conectar con Puntilla 178
Paso 192: Desde Puntilla 178, conectar con Puntilla 107
Paso 193: Desde Puntilla 107, conectar con Puntilla 179
Paso 194: Desde Puntilla 179, conectar con Puntilla 116
Paso 195: Desde Puntilla 116, conectar con Puntilla 184
Paso 196: Desde Puntilla 184, conectar con Puntilla 115
Paso 197: Desde Puntilla 115, conectar con Puntilla 183
Paso 198: Desde Puntilla 183, conectar con Puntilla 121
Paso 199: Desde Puntilla 121, conectar con Puntilla 61
Paso 200: Desde Puntilla 61, conectar con Puntilla 194
Paso 201: Desde Puntilla 194, conectar con Puntilla 63
Paso 202: Desde Puntilla 63, conectar con Puntilla 198
Paso 203: Desde Puntilla 198, conectar con Puntilla 143
Paso 204: Desde Puntilla 143, conectar con Puntilla 92
Paso 205: Desde Puntilla 92, conectar con Puntilla 142
Paso 206: Desde Puntilla 142, conectar con Puntilla 91
Paso 207: Desde Puntilla 91, conectar con Puntilla 143
Paso 208: Desde Puntilla 143, conectar con Puntilla 93
Paso 209: Desde Puntilla 93, conectar con Puntilla 144
Paso 210: Desde Puntilla 144, conectar con Puntilla 198
Paso 211: Desde Puntilla 198, conectar con Puntilla 125
Paso 212: Desde Puntilla 125, conectar con Puntilla 70
Paso 213: Desde Puntilla 70, conectar con Puntilla 127
Paso 214: Desde Puntilla 127, conectar con Puntilla 71
Paso 215: Desde Puntilla 71, conectar con Puntilla 126
Paso 216: Desde Puntilla 126, conectar con Puntilla 2
Paso 217: Desde Puntilla 2, conectar con Puntilla 149
Paso 218: Desde Puntilla 149, conectar con Puntilla 97
Paso 219: Desde Puntilla 97, conectar con Puntilla 148
Paso 220: Desde Puntilla 148, conectar con Puntilla 2
Paso 221: Desde Puntilla 2, conectar con Puntilla 150
Paso 222: Desde Puntilla 150, conectar con Puntilla 3
Paso 223: Desde Puntilla 3, conectar con Puntilla 151
Paso 224: Desde Puntilla 151, conectar con Puntilla 4
Paso 225: Desde Puntilla 4, conectar con Puntilla 152
Paso 226: Desde Puntilla 152, conectar con Puntilla 100
Paso 227: Desde Puntilla 100, conectar con Puntilla 153
Paso 228: Desde Puntilla 153, conectar con Puntilla 6
Paso 229: Desde Puntilla 6, conectar con Puntilla 154
Paso 230: Desde Puntilla 154, conectar con Puntilla 7
Paso 231: Desde Puntilla 7, conectar con Puntilla 155
Paso 232: Desde Puntilla 155, conectar con Puntilla 102
Paso 233: Desde Puntilla 102, conectar con Puntilla 35
Paso 234: Desde Puntilla 35, conectar con Puntilla 176
Paso 235: Desde Puntilla 176, conectar con Puntilla 34
Paso 236: Desde Puntilla 34, conectar con Puntilla 177
Paso 237: Desde Puntilla 177, conectar con Puntilla 36
Paso 238: Desde Puntilla 36, conectar con Puntilla 105
Paso 239: Desde Puntilla 105, conectar con Puntilla 41
Paso 240: Desde Puntilla 41, conectar con Puntilla 106
Paso 241: Desde Puntilla 106, conectar con Puntilla 39
Paso 242: Desde Puntilla 39, conectar con Puntilla 178
Paso 243: Desde Puntilla 178, conectar con Puntilla 105
Paso 244: Desde Puntilla 105, conectar con Puntilla 177
Paso 245: Desde Puntilla 177, conectar con Puntilla 106
Paso 246: Desde Puntilla 106, conectar con Puntilla 40
Paso 247: Desde Puntilla 40, conectar con Puntilla 104
Paso 248: Desde Puntilla 104, conectar con Puntilla 158
Paso 249: Desde Puntilla 158, conectar con Puntilla 11
Paso 250: Desde Puntilla 11, conectar con Puntilla 159
Paso 251: Desde Puntilla 159, conectar con Puntilla 12
